# X-ray diffraction data of amorphous ice, measured at APS beamline 6 ID-D by  Mariedahl et al. (J. Phys. Chem. B 2018, DOI: 10.1021/acs.jpcb.8b04823)# Oxygen-Oxygen Structure factor S_OO(Q) data shown in Figure 2 of corresponding paper# S_OO(Q) and standard error obtained by averaging individual runs on different sample positions within the same batch# LDA-II (sample #1)
# Q[Å^-1] S_OO(Q) Error
6.500000000000000222e-01 1.330380928158543877e-02 9.260105137526338653e-03
6.600000000000000311e-01 1.440261451109669556e-02 9.227316955830525136e-03
6.700000000000000400e-01 1.555245725778664490e-02 9.162611183790808286e-03
6.800000000000000488e-01 1.675692110000042562e-02 9.062289849890469914e-03
6.900000000000000577e-01 1.795819429933668068e-02 8.968574305822605078e-03
7.000000000000000666e-01 1.911272984801611410e-02 8.924730881708357877e-03
7.100000000000000755e-01 2.024196484643881605e-02 8.923381774131527305e-03
7.200000000000000844e-01 2.139075302276317175e-02 8.927352671418767316e-03
7.300000000000000933e-01 2.258641825420221877e-02 8.910578958128781771e-03
7.400000000000001021e-01 2.381819920102818885e-02 8.874488411016743031e-03
7.500000000000001110e-01 2.506715160695147798e-02 8.824589355112861730e-03
7.600000000000001199e-01 2.635319130070455998e-02 8.767754971200997227e-03
7.700000000000001288e-01 2.774165466254972096e-02 8.711644851663936581e-03
7.800000000000001377e-01 2.928335839933922727e-02 8.655726137014275665e-03
7.900000000000001465e-01 3.093900860178306483e-02 8.577755712798687537e-03
8.000000000000001554e-01 3.262105110871661717e-02 8.454129664975794378e-03
8.100000000000001643e-01 3.424655610972996561e-02 8.295506957953606431e-03
8.200000000000000622e-01 3.581245449147101023e-02 8.137317410730114664e-03
8.300000000000002931e-01 3.735154011280567010e-02 8.004343620516607416e-03
8.400000000000001910e-01 3.887613708170210847e-02 7.889258734693063019e-03
8.500000000000001998e-01 4.033769145884828766e-02 7.779286413924809199e-03
8.600000000000000977e-01 4.169260830367317594e-02 7.667230220284673020e-03
8.700000000000003286e-01 4.297001633220146055e-02 7.550224368184438144e-03
8.800000000000002265e-01 4.422374130364120637e-02 7.428622731535908415e-03
8.900000000000002354e-01 4.547362910300276756e-02 7.313252336500803037e-03
9.000000000000001332e-01 4.668879210486730214e-02 7.216281714793462872e-03
9.100000000000003642e-01 4.783780313133891016e-02 7.133561387283243738e-03
9.200000000000002620e-01 4.891544167628829320e-02 7.046314441942072050e-03
