# X-ray diffraction data of amorphous ice, measured at APS beamline 6 ID-D by  Mariedahl et al. (J. Phys. Chem. B 2018, DOI: 10.1021/acs.jpcb.8b04823)# Oxygen-Oxygen Structure factor S_OO(Q) data shown in Figure 2 of corresponding paper# S_OO(Q) and standard error obtained by averaging individual runs on different sample positions within the same batch# VHDA (sample #4)
# Q[Å^-1] S_OO(Q) Error
6.500000000000000222e-01 5.374939504939299159e-03 3.666199820879036814e-03
6.600000000000000311e-01 5.446775266963407164e-03 3.749108588397680533e-03
6.700000000000000400e-01 5.347756895564891727e-03 3.801664912522757182e-03
6.799999999999999378e-01 5.038920780224729994e-03 3.821749110491130721e-03
6.900000000000001688e-01 4.656834054411590137e-03 3.830125567104881047e-03
7.000000000000000666e-01 4.362317790822789303e-03 3.847979952581482514e-03
7.100000000000000755e-01 4.164917133424640878e-03 3.872111607556426739e-03
7.199999999999999734e-01 3.970668321740212711e-03 3.885132297234713313e-03
7.300000000000002043e-01 3.704313904423700305e-03 3.874655763160378494e-03
7.400000000000001021e-01 3.342545164276717815e-03 3.840469698756602494e-03
7.500000000000001110e-01 2.869548290963922204e-03 3.784484968276824023e-03
7.600000000000000089e-01 2.342137142622455724e-03 3.714101743836754812e-03
7.700000000000002398e-01 1.884780817959472469e-03 3.640364399407869725e-03
7.800000000000001377e-01 1.572172242760164554e-03 3.567055681389348989e-03
7.900000000000001465e-01 1.294985468177287319e-03 3.478637300212827823e-03
8.000000000000000444e-01 8.895532771396733648e-04 3.358154995484819924e-03
8.100000000000002753e-01 3.292302724239556445e-04 3.210887794362630738e-03
8.200000000000001732e-01 -2.364972197759668575e-04 3.057570184077674450e-03
8.300000000000001821e-01 -6.578782143643260730e-04 2.915569980823029799e-03
8.400000000000000799e-01 -9.195269937780700805e-04 2.793236730765230168e-03
8.500000000000003109e-01 -1.089278381753325297e-03 2.696636442136977289e-03
8.600000000000002087e-01 -1.256040587892287954e-03 2.618566019359139848e-03
8.700000000000002176e-01 -1.456999193275947384e-03 2.541301208043051253e-03
8.800000000000001155e-01 -1.687597557904747022e-03 2.452847000977807432e-03
8.900000000000003464e-01 -1.917414902007408967e-03 2.360540851375195117e-03
