# X-ray diffraction data of amorphous ice, measured at APS beamline 6 ID-D by  Mariedahl et al. (J. Phys. Chem. B 2018, DOI: 10.1021/acs.jpcb.8b04823)# Oxygen-Oxygen Structure factor S_OO(Q) data shown in Figure 2 of corresponding paper# S_OO(Q) and standard error obtained by averaging individual runs on different sample positions within the same batch# eHDA (sample #2)
# Q[Å^-1] S_OO(Q) Error
6.500000000000000222e-01 -8.341591624146132977e-03 4.437939162742906077e-03
6.600000000000000311e-01 -8.566250364360069106e-03 4.496001533450673729e-03
6.700000000000000400e-01 -8.864627664523878556e-03 4.534634775504336156e-03
6.800000000000000488e-01 -9.267280606491930597e-03 4.551394059405486879e-03
6.900000000000000577e-01 -9.686517779310394385e-03 4.561748032380338012e-03
7.000000000000000666e-01 -1.001295844882833276e-02 4.581986998459275894e-03
7.100000000000000755e-01 -1.023806084698025351e-02 4.610284595431102077e-03
7.200000000000000844e-01 -1.042717085727030805e-02 4.633807648811097066e-03
7.300000000000000933e-01 -1.063003138678774752e-02 4.643228625782176190e-03
7.400000000000001021e-01 -1.085309080540652719e-02 4.638466612238046662e-03
7.500000000000001110e-01 -1.110027419289182256e-02 4.620570090499656439e-03
7.600000000000001199e-01 -1.134825884117322305e-02 4.591427406217286726e-03
7.700000000000001288e-01 -1.153577039367559981e-02 4.553685257440005102e-03
7.800000000000001377e-01 -1.161829212327373552e-02 4.506231815385407929e-03
7.900000000000001465e-01 -1.164655596551928372e-02 4.438334364377076631e-03
8.000000000000001554e-01 -1.171577393103029156e-02 4.340130982125643168e-03
8.100000000000001643e-01 -1.185203011808245999e-02 4.220881037916193734e-03
8.200000000000001732e-01 -1.195467836065850810e-02 4.100902301806597094e-03
8.300000000000001821e-01 -1.191795971873807480e-02 3.993786448906727800e-03
8.400000000000001910e-01 -1.175207118088510139e-02 3.901368531885142377e-03
8.500000000000001998e-01 -1.154554443906508250e-02 3.823276693148315673e-03
8.600000000000002087e-01 -1.138089042251519412e-02 3.754141497280997965e-03
8.700000000000002176e-01 -1.126695983759289088e-02 3.685417355650410023e-03
8.800000000000002265e-01 -1.117880504262972786e-02 3.612158774732322428e-03
8.900000000000002354e-01 -1.109446785106511617e-02 3.538143982679043710e-03
9.000000000000002442e-01 -1.103636812480286722e-02 3.467909362333049337e-03
9.100000000000002531e-01 -1.102842236888849393e-02 3.403386920785005532e-03
9.200000000000002620e-01 -1.106897360805358770e-02 3.344923460312835238e-03
9.300000000000002709e-01 -1.115189865542467497e-02 3.292885546740384473e-03
9.400000000000002798e-01 -1.126650241466040960e-02 3.247361871707213181e-03
9.500000000000002887e-01 -1.138490421158008976e-02 3.208489820472790969e-03
9.600000000000002975e-01 -1.147675815598244407e-02 3.174619879572721567e-03
9.700000000000003064e-01 -1.150641216437205128e-02 3.142094915289084765e-03
9.800000000000003153e-01 -1.142835715422354376e-02 3.109170199782515260e-03
9.900000000000003242e-01 -1.122916564472386212e-02 3.082397789161501513e-03
1.000000000000000222e+00 -1.096656122965804225e-02 3.069181437872619059e-03
1.010000000000000009e+00 -1.073926039389621299e-02 3.065869991334095254e-03
1.020000000000000462e+00 -1.061023174066301304e-02 3.057009166542297603e-03
1.030000000000000249e+00 -1.060285547586907462e-02 3.031006056745070166e-03
1.040000000000000702e+00 -1.062261934226163031e-02 2.997522793717702101e-03
1.050000000000000488e+00 -1.050684336275307072e-02 2.970493475109570007e-03
1.060000000000000497e+00 -1.014697023525441832e-02 2.953854070729200389e-03
1.070000000000000284e+00 -9.644795927570335922e-03 2.941889861898189587e-03
1.080000000000000293e+00 -9.163195076649364654e-03 2.928572946586415968e-03
1.090000000000000080e+00 -8.827919354247129938e-03 2.907371948187021694e-03
1.100000000000000533e+00 -8.676343233974009861e-03 2.872195862245751491e-03
1.110000000000000320e+00 -8.646311280665223975e-03 2.828110993202516757e-03
1.120000000000000773e+00 -8.530875185476139919e-03 2.791388696283631995e-03
1.130000000000000560e+00 -8.134220718238277179e-03 2.773036054585916940e-03
1.140000000000000568e+00 -7.487697260798363563e-03 2.768262262610188870e-03
1.150000000000000355e+00 -6.759825207396715809e-03 2.766118842187915029e-03
1.160000000000000364e+00 -6.073569707162887292e-03 2.759224710936894649e-03
1.170000000000000151e+00 -5.469603431352033918e-03 2.749119925801896472e-03
1.180000000000000604e+00 -4.975113635047451882e-03 2.738784954976687756e-03
1.190000000000000391e+00 -4.539705521339453161e-03 2.731847157299100749e-03
1.200000000000000844e+00 -4.042648091180175637e-03 2.732410017894466945e-03
1.210000000000000631e+00 -3.415311113407515017e-03 2.739343347312857280e-03
1.220000000000000639e+00 -2.686662363264430507e-03 2.740346272080240557e-03
1.230000000000000426e+00 -1.886969916210308853e-03 2.721835384040336998e-03
1.240000000000000435e+00 -1.025811537252190172e-03 2.687128522511473758e-03
1.250000000000000222e+00 -1.491180598592963707e-04 2.648507895606484839e-03
1.260000000000000675e+00 6.888779212668132276e-04 2.613438933021212419e-03
1.270000000000000462e+00 1.463402048224621060e-03 2.579789301559414459e-03
1.280000000000000915e+00 2.165506964849325203e-03 2.544024348395389559e-03
1.290000000000000702e+00 2.864497221803035277e-03 2.501612889635750330e-03
1.300000000000000711e+00 3.713058209936507831e-03 2.447452204791503334e-03
1.310000000000000497e+00 4.832540995675948560e-03 2.382816490276742222e-03
1.320000000000000506e+00 6.144165590140033238e-03 2.321773067238304834e-03
1.330000000000000293e+00 7.506607513865254377e-03 2.277895777536991222e-03
1.340000000000000746e+00 8.776181092284599319e-03 2.247432765537338978e-03
1.350000000000000533e+00 9.842283789069245989e-03 2.216088058451745352e-03
1.360000000000000986e+00 1.068169074928407812e-02 2.173796931663152850e-03
1.370000000000000773e+00 1.157740007280634587e-02 2.123374076073053160e-03
1.380000000000000782e+00 1.287620193660007906e-02 2.069617281242882873e-03
1.390000000000000568e+00 1.467787455655503691e-02 2.016457478218600715e-03
1.400000000000000577e+00 1.682716302281481169e-02 1.968041898999274564e-03
1.410000000000000364e+00 1.915344005822957468e-02 1.927602545981237049e-03
1.420000000000000817e+00 2.148856547663724470e-02 1.891676592584525841e-03
1.430000000000000604e+00 2.367457116605351311e-02 1.852965377914849842e-03
1.440000000000001057e+00 2.575631075747656165e-02 1.807271978524295714e-03
1.450000000000000844e+00 2.798520775350251191e-02 1.755742785222444815e-03
1.460000000000000853e+00 3.059097324780612678e-02 1.702836248414984219e-03
1.470000000000000639e+00 3.366268273349728307e-02 1.655851714072732002e-03
1.480000000000000648e+00 3.724195340242857782e-02 1.621161333245114099e-03
