# X-ray diffraction data of amorphous ice, measured at APS beamline 6 ID-D by  Mariedahl et al. (J. Phys. Chem. B 2018, DOI: 10.1021/acs.jpcb.8b04823)# Oxygen-Oxygen PDF g_OO(r) shown in Figure 3 of corresponding paper # LDA-II (sample #1)
# r[Å] g_OO(r)
1.000000000000000444e+00 -2.273851750233015778e-01
1.020000000000000462e+00 -1.695748737956894736e-01
1.040000000000000480e+00 -1.048952360475945422e-01
1.060000000000000497e+00 -3.951802080153399288e-02
1.080000000000000515e+00 2.141924142893081306e-02
1.100000000000000533e+00 7.412188006265019169e-02
1.120000000000000551e+00 1.162600401643248960e-01
1.140000000000000568e+00 1.469134460170195000e-01
1.160000000000000586e+00 1.663698311877571667e-01
1.180000000000000604e+00 1.758233241077190590e-01
1.200000000000000622e+00 1.770268731627391290e-01
1.220000000000000639e+00 1.719524390579670881e-01
1.240000000000000657e+00 1.625048371916780754e-01
1.260000000000000675e+00 1.503214570832808183e-01
1.280000000000000693e+00 1.366730171428199858e-01
1.300000000000000711e+00 1.224627670589139017e-01
1.320000000000000728e+00 1.083057926031545382e-01
1.340000000000000746e+00 9.465852770570626351e-02
1.360000000000000764e+00 8.196271419544842729e-02
1.380000000000000782e+00 7.076843253958364777e-02
1.400000000000000799e+00 6.180706595925689051e-02
1.420000000000000817e+00 5.599591006776660773e-02
1.440000000000000835e+00 5.436971673962476270e-02
1.460000000000000853e+00 5.794853870768201798e-02
1.480000000000000870e+00 6.756358721682065305e-02
1.500000000000000888e+00 8.367151175950438002e-02
1.520000000000000906e+00 1.061912264619876423e-01
1.540000000000000924e+00 1.343955747728911021e-01
1.560000000000000941e+00 1.668830081626485606e-01
1.580000000000000959e+00 2.016431038574210410e-01
1.600000000000000977e+00 2.362158339315399702e-01
1.620000000000000995e+00 2.679300771422865601e-01
1.640000000000001013e+00 2.941940764093803340e-01
1.660000000000001030e+00 3.128013120045259887e-01
1.680000000000001048e+00 3.222110155396689102e-01
