# X-ray diffraction data of amorphous ice, measured at APS beamline 6 ID-D by  Mariedahl et al. (J. Phys. Chem. B 2018, DOI: 10.1021/acs.jpcb.8b04823)# Oxygen-Oxygen PDF g_OO(r) shown in Figure 3 of corresponding paper # VHDA (sample #4)
# r[Å] g_OO(r)
1.000000000000000444e+00 8.732051909209204155e-02
1.020000000000000462e+00 4.959659775574407070e-02
1.040000000000000480e+00 7.721269628129023843e-03
1.060000000000000497e+00 -3.521149174375474283e-02
1.080000000000000515e+00 -7.605597415721236654e-02
1.100000000000000533e+00 -1.118912801679992630e-01
1.120000000000000551e+00 -1.402682076340594775e-01
1.140000000000000568e+00 -1.594065064094680184e-01
1.160000000000000586e+00 -1.683270918853067843e-01
1.180000000000000604e+00 -1.669096356346858046e-01
1.200000000000000622e+00 -1.558726212959083424e-01
1.220000000000000639e+00 -1.366798692268533233e-01
1.240000000000000657e+00 -1.113840649711605457e-01
1.260000000000000675e+00 -8.242335505932968376e-02
1.280000000000000693e+00 -5.239105983094156233e-02
1.300000000000000711e+00 -2.380060038623047977e-02
1.320000000000000728e+00 1.132358753977485456e-03
1.340000000000000746e+00 2.067077210124965495e-02
1.360000000000000764e+00 3.368441230393540153e-02
1.380000000000000782e+00 3.971530005792320295e-02
1.400000000000000799e+00 3.897668763292125305e-02
1.420000000000000817e+00 3.228854408672617721e-02
1.440000000000000835e+00 2.095863379988284481e-02
1.460000000000000853e+00 6.623328562909468545e-03
1.480000000000000870e+00 -8.934236904647181732e-03
1.500000000000000888e+00 -2.396947283785883648e-02
1.520000000000000906e+00 -3.694632048571903221e-02
1.540000000000000924e+00 -4.667542944043656661e-02
1.560000000000000941e+00 -5.240793971328280842e-02
1.580000000000000959e+00 -5.387734460984799217e-02
1.600000000000000977e+00 -5.128759236990391296e-02
1.620000000000000995e+00 -4.525129547983916534e-02
1.640000000000001013e+00 -3.668707590984895961e-02
1.660000000000001030e+00 -2.668916532529976016e-02
1.680000000000001048e+00 -1.638499538984118653e-02
1.700000000000001066e+00 -6.797396414270166602e-03
1.720000000000001084e+00 1.272912381254474997e-03
1.740000000000001101e+00 7.331512020110854053e-03
1.760000000000001119e+00 1.123221866672351361e-02
1.780000000000001137e+00 1.317293004709338758e-02
1.800000000000001155e+00 1.364709473598910497e-02
1.820000000000001172e+00 1.335788056788648516e-02
1.840000000000001190e+00 1.310667147103706902e-02
1.860000000000001208e+00 1.367069839163484110e-02
1.880000000000001226e+00 1.568598157109510685e-02
1.900000000000001243e+00 1.955109815260269723e-02
1.920000000000001261e+00 2.536460237055783440e-02
1.940000000000001279e+00 3.290448659993710362e-02
1.960000000000001297e+00 4.165239856228582921e-02
1.980000000000001315e+00 5.085914258903198593e-02
2.000000000000001332e+00 5.964213468111074362e-02
2.020000000000001350e+00 6.710081640454493290e-02
2.040000000000001368e+00 7.243332547252717690e-02
2.060000000000001386e+00 7.503750932964341203e-02
2.080000000000001403e+00 7.458184937803709336e-02
2.100000000000001421e+00 7.103680864850210608e-02
2.120000000000001439e+00 6.466383594628465070e-02
2.140000000000001457e+00 5.596664733258252533e-02
2.160000000000001474e+00 4.561606945017261661e-02
2.180000000000001492e+00 3.436422617668119517e-02
2.200000000000001510e+00 2.296500251346343668e-02
2.220000000000001528e+00 1.211496059463867958e-02
2.240000000000001545e+00 2.422548461346300201e-03
2.260000000000001563e+00 -5.595096803450026052e-03
2.280000000000001581e+00 -1.149691696866936633e-02
2.300000000000001599e+00 -1.489908068108712798e-02
2.320000000000001616e+00 -1.546760866365253645e-02
2.340000000000001634e+00 -1.293100464903607083e-02
2.360000000000001652e+00 -7.108259795355132901e-03
2.380000000000001670e+00 2.069661990987755381e-03
2.400000000000001688e+00 1.458331038344128257e-02
2.420000000000001705e+00 3.044078120980596436e-02
2.440000000000001723e+00 4.992781746458842262e-02
2.460000000000001741e+00 7.400536054560599708e-02
2.480000000000001759e+00 1.048147530309677111e-01
2.500000000000001776e+00 1.461780752873558520e-01
2.520000000000001794e+00 2.039073239588652664e-01
2.540000000000001812e+00 2.856938933160796390e-01
2.560000000000001830e+00 4.003786239615773068e-01
2.580000000000001847e+00 5.565306831371004126e-01
2.600000000000001865e+00 7.604824330556905210e-01
2.620000000000001883e+00 1.014215296595170734e+00
2.640000000000001901e+00 1.313662918727921181e+00
2.660000000000001918e+00 1.647989266013612175e+00
2.680000000000001936e+00 2.000173131371861146e+00
2.700000000000001954e+00 2.348855097691378901e+00
2.720000000000001972e+00 2.671031715537478757e+00
2.740000000000001990e+00 2.944973391506534366e+00
2.760000000000002007e+00 3.152772275599560636e+00
2.780000000000002025e+00 3.282146739994153961e+00
2.800000000000002043e+00 3.327406480955906964e+00
2.820000000000002061e+00 3.289680413813480975e+00
2.840000000000002078e+00 3.176562081323464959e+00
2.860000000000002096e+00 3.001262188890793325e+00
2.880000000000002114e+00 2.781268539800178186e+00
2.900000000000002132e+00 2.536499966093034075e+00
2.920000000000002149e+00 2.287049830631016967e+00
2.940000000000002167e+00 2.050807872394695419e+00
2.960000000000002185e+00 1.841416317661423552e+00
2.980000000000002203e+00 1.667035719965557661e+00
3.000000000000002220e+00 1.530213430934178387e+00
3.020000000000002238e+00 1.428820993965184361e+00
3.040000000000002256e+00 1.357701586693044415e+00
3.060000000000002274e+00 1.310493268040130888e+00
3.080000000000002292e+00 1.281133170476295158e+00
3.100000000000002309e+00 1.264754870668485021e+00
3.120000000000002327e+00 1.257948997800189650e+00
3.140000000000002345e+00 1.258552980051775627e+00
3.160000000000002363e+00 1.265214917252963645e+00
3.180000000000002380e+00 1.276949577683821335e+00
3.200000000000002398e+00 1.292819813535887707e+00
3.220000000000002416e+00 1.311785231648252115e+00
3.240000000000002434e+00 1.332693739090588414e+00
3.260000000000002451e+00 1.354360000605010494e+00
3.280000000000002469e+00 1.375672031399141737e+00
3.300000000000002487e+00 1.395681459834515303e+00
3.320000000000002505e+00 1.413653512797164336e+00
3.340000000000002522e+00 1.429071971498621529e+00
3.360000000000002540e+00 1.441608213617475265e+00
3.380000000000002558e+00 1.451070692720448641e+00
3.400000000000002576e+00 1.457352293161725099e+00
3.420000000000002593e+00 1.460389489175411892e+00
3.440000000000002611e+00 1.460141163059514247e+00
3.460000000000002629e+00 1.456588316525316618e+00
3.480000000000002647e+00 1.449750354455558998e+00
3.500000000000002665e+00 1.439710112993227931e+00
3.520000000000002682e+00 1.426638654829508690e+00
3.540000000000002700e+00 1.410811821058687743e+00
3.560000000000002718e+00 1.392613016451609953e+00
3.580000000000002736e+00 1.372519976446607837e+00
3.600000000000002753e+00 1.351076605707961953e+00
3.620000000000002771e+00 1.328853803430797287e+00
3.640000000000002789e+00 1.306405092079827579e+00
3.660000000000002807e+00 1.284223631011560451e+00
3.680000000000002824e+00 1.262706801871966045e+00
3.700000000000002842e+00 1.242133148752861294e+00
3.720000000000002860e+00 1.222654334179683389e+00
3.740000000000002878e+00 1.204302318738253996e+00
3.760000000000002895e+00 1.187009609776961128e+00
3.780000000000002913e+00 1.170638543967736700e+00
3.800000000000002931e+00 1.155014465103328059e+00
3.820000000000002949e+00 1.139957483792886528e+00
3.840000000000002967e+00 1.125308243331331726e+00
3.860000000000002984e+00 1.110944588434233049e+00
3.880000000000003002e+00 1.096787938203813262e+00
3.900000000000003020e+00 1.082800132847259844e+00
3.920000000000003038e+00 1.068973190349113089e+00
3.940000000000003055e+00 1.055315481179948778e+00
3.960000000000003073e+00 1.041838137206287929e+00
3.980000000000003091e+00 1.028545038422984170e+00
4.000000000000003553e+00 1.015428601508886253e+00
4.020000000000003126e+00 1.002472081018602301e+00
4.040000000000002700e+00 9.896575081604699342e-01
4.060000000000003162e+00 9.769770577040035597e-01
4.080000000000003624e+00 9.644448148546772570e-01
4.100000000000003197e+00 9.521057653282084532e-01
4.120000000000002771e+00 9.400393704554831364e-01
4.140000000000003233e+00 9.283561946530292097e-01
4.160000000000003695e+00 9.171874939545135996e-01
4.180000000000003268e+00 9.066691574000041998e-01
4.200000000000002842e+00 8.969226197278208357e-01
4.220000000000003304e+00 8.880360903157659136e-01
4.240000000000003766e+00 8.800495272384236678e-01
4.260000000000003340e+00 8.729462115189149385e-01
4.280000000000002913e+00 8.666526580265537794e-01
4.300000000000003375e+00 8.610471525792293690e-01
4.320000000000003837e+00 8.559757059231923870e-01
4.340000000000003411e+00 8.512729456604096745e-01
4.360000000000002984e+00 8.467846587024606686e-01
4.380000000000003446e+00 8.423884882675356511e-01
4.400000000000003908e+00 8.380097022273856888e-01
4.420000000000003482e+00 8.336298869067577666e-01
4.440000000000003055e+00 8.292876893464972143e-01
4.460000000000003517e+00 8.250720830003914763e-01
4.480000000000003979e+00 8.211098127041290828e-01
4.500000000000003553e+00 8.175494744639273392e-01
4.520000000000003126e+00 8.145449775461863773e-01
4.540000000000003588e+00 8.122408989084322073e-01
4.560000000000004050e+00 8.107615565619424869e-01
4.580000000000003624e+00 8.102046662869453186e-01
4.600000000000003197e+00 8.106394192411842115e-01
4.620000000000003659e+00 8.121079417511810616e-01
4.640000000000004121e+00 8.146285454868430476e-01
4.660000000000003695e+00 8.181990421075721054e-01
4.680000000000003268e+00 8.227986834052578580e-01
4.700000000000003730e+00 8.283879072401565402e-01
4.720000000000004192e+00 8.349058634908131937e-01
4.740000000000003766e+00 8.422664719224474128e-01
4.760000000000003340e+00 8.503543431270972341e-01
4.780000000000003801e+00 8.590221402247830707e-01
4.800000000000004263e+00 8.680908147926568175e-01
4.820000000000003837e+00 8.773536453297059445e-01
4.840000000000003411e+00 8.865842508694132817e-01
4.860000000000003872e+00 8.955479126406437063e-01
4.880000000000004334e+00 9.040147992707036062e-01
4.900000000000003908e+00 9.117732216474008222e-01
4.920000000000003482e+00 9.186409514096374185e-01
4.940000000000003944e+00 9.244729509351241603e-01
4.960000000000004405e+00 9.291645242974967411e-01
4.980000000000003979e+00 9.326497742152758397e-01
5.000000000000003553e+00 9.348961581417091216e-01
5.020000000000004015e+00 9.358966864170213951e-01
5.040000000000004476e+00 9.356617366658750434e-01
5.060000000000004050e+00 9.342124761503796115e-01
5.080000000000003624e+00 9.315774780957715162e-01
5.100000000000004086e+00 9.277933683540801058e-01
5.120000000000004547e+00 9.229093976579711978e-01
5.140000000000004121e+00 9.169948969390140370e-01
5.160000000000003695e+00 9.101478358026119375e-01
5.180000000000004157e+00 9.025023256957543927e-01
5.200000000000004619e+00 8.942329760813430006e-01
5.220000000000004192e+00 8.855545198797057926e-01
5.240000000000003766e+00 8.767159784891398466e-01
5.260000000000004228e+00 8.679896693662549900e-01
5.280000000000004690e+00 8.596563640504419901e-01
5.300000000000004263e+00 8.519886781724801406e-01
