# X-ray diffraction data of amorphous ice, measured at APS beamline 6 ID-D by  Mariedahl et al. (J. Phys. Chem. B 2018, DOI: 10.1021/acs.jpcb.8b04823)# Oxygen-Oxygen PDF g_OO(r) shown in Figure 3 of corresponding paper # eHDA (sample #2)
# r[Å] g_OO(r)
1.000000000000000444e+00 -1.837952452424501670e-02
1.020000000000000462e+00 -4.773151167658523653e-02
1.040000000000000480e+00 -7.900418354404331600e-02
1.060000000000000497e+00 -1.102048639393597290e-01
1.080000000000000515e+00 -1.390829493568626896e-01
1.100000000000000533e+00 -1.633646720988432832e-01
1.120000000000000551e+00 -1.810067206512535609e-01
1.140000000000000568e+00 -1.904383657780146233e-01
1.160000000000000586e+00 -1.907619403890041809e-01
1.180000000000000604e+00 -1.818857370001087104e-01
1.200000000000000622e+00 -1.645710261108477013e-01
1.220000000000000639e+00 -1.403849491631097290e-01
1.240000000000000657e+00 -1.115622141818678331e-01
1.260000000000000675e+00 -8.078942897196007833e-02
1.280000000000000693e+00 -5.093521894841276237e-02
1.300000000000000711e+00 -2.475588467320090705e-02
1.320000000000000728e+00 -4.609485851437371100e-03
1.340000000000000746e+00 7.789462571298551470e-03
1.360000000000000764e+00 1.154694062227540341e-02
1.380000000000000782e+00 6.677946501683702969e-03
1.400000000000000799e+00 -5.903473439399602000e-03
1.420000000000000817e+00 -2.449155999134450257e-02
1.440000000000000835e+00 -4.678132254869197398e-02
1.460000000000000853e+00 -7.012424403003712781e-02
1.480000000000000870e+00 -9.181810426372331857e-02
1.500000000000000888e+00 -1.093980074535564756e-01
1.520000000000000906e+00 -1.208957289079736624e-01
1.540000000000000924e+00 -1.250383832107813953e-01
1.560000000000000941e+00 -1.213647193906669391e-01
1.580000000000000959e+00 -1.102472103457911579e-01
1.600000000000000977e+00 -9.281934340189938737e-02
1.620000000000000995e+00 -7.081877172844878998e-02
1.640000000000001013e+00 -4.636686962581650778e-02
1.660000000000001030e+00 -2.171252197429969846e-02
1.680000000000001048e+00 1.028240624969052998e-03
1.700000000000001066e+00 2.010534412451249822e-02
1.720000000000001084e+00 3.431322488928730680e-02
1.740000000000001101e+00 4.309506529112448053e-02
1.760000000000001119e+00 4.656284500070009130e-02
1.780000000000001137e+00 4.543431967337235866e-02
